# Iteration Pressure Kinetic Potential Temperature Total
80 -0.18735728 0.99156139 -4.6631468 0.66104093 -3.6715854
81 -0.11359853 0.98215861 -4.6537456 0.65477241 -3.671587
82 -0.068376003 0.98123639 -4.6528274 0.65415759 -3.671591
83 -0.032928927 0.98269343 -4.6542869 0.65512895 -3.6715935
84 0.00064012323 0.98336509 -4.6549558 0.65557673 -3.6715907
85 0.033437394 0.9837112 -4.6553012 0.65580747 -3.67159
86 0.066337265 0.98296778 -4.6545594 0.65531185 -3.6715916
87 0.1059989 0.97825546 -4.6498468 0.65217031 -3.6715913
88 0.15858014 0.96804704 -4.6396362 0.64536469 -3.6715892
89 0.21871564 0.95409519 -4.6256831 0.63606346 -3.6715881
90 0.270585 0.94000139 -4.6115866 0.62666759 -3.6715852
91 0.3037904 0.92977815 -4.6013596 0.6198521 -3.6715815
92 0.30020823 0.92678009 -4.5983605 0.61785339 -3.6715804
93 0.25790412 0.93266694 -4.6042458 0.62177796 -3.6715789
94 0.17236967 0.94810565 -4.6196832 0.63207043 -3.6715776
95 0.048278974 0.97299157 -4.6445691 0.64866105 -3.6715776
96 -0.10507417 1.0047302 -4.6763096 0.66982013 -3.6715794
97 -0.26814047 1.03842 -4.7100024 0.69228 -3.6715824
98 -0.41956655 1.0691922 -4.740775 0.7127948 -3.6715828
99 -0.54773221 1.0932694 -4.7648535 0.72884627 -3.6715841
100 -0.6383643 1.1078539 -4.7794398 0.73856927 -3.6715859
101 -0.68365041 1.1111794 -4.782766 0.74078627 -3.6715867
102 -0.68245404 1.1019786 -4.773565 0.7346524 -3.6715864
103 -0.63158413 1.0802491 -4.7518345 0.72016607 -3.6715855
104 -0.54526072 1.0488954 -4.720479 0.6992636 -3.6715835
105 -0.44590264 1.0143933 -4.6859741 0.6762622 -3.6715807
106 -0.35954115 0.98524861 -4.6568247 0.65683241 -3.6715761
107 -0.31815686 0.97063519 -4.6422062 0.64709013 -3.6715709
108 -0.34280375 0.97903 -4.6506006 0.65268667 -3.6715706
109 -0.43670857 1.0103177 -4.6819003 0.67354513 -3.6715826
110 -0.54768957 1.0480063 -4.7196024 0.69867087 -3.6715961
111 -0.60541269 1.0701372 -4.7417398 0.7134248 -3.6716027
112 -0.58112554 1.065298 -4.7368966 0.71019867 -3.6715987
113 -0.49495853 1.0405052 -4.7120906 0.69367013 -3.6715854
114 -0.40865467 1.0161848 -4.6877613 0.67745653 -3.6715766
115 -0.36195498 1.0052956 -4.6768731 0.67019707 -3.6715775
116 -0.36614658 1.0098031 -4.6813819 0.67320207 -3.6715788
117 -0.41060154 1.0269822 -4.6985661 0.6846548 -3.6715838
118 -0.46642801 1.0476481 -4.7192343 0.69843207 -3.671586
119 -0.50824284 1.0646627 -4.736249 0.70977513 -3.6715863
120 -0.5200621 1.0738368 -4.7454261 0.7158912 -3.6715893
121 -0.48550913 1.0701385 -4.7417288 0.71342567 -3.6715902
122 -0.39932147 1.0519339 -4.723521 0.70128927 -3.6715871
123 -0.28049301 1.0245305 -4.6961111 0.68302033 -3.6715806
124 -0.16228549 0.99835907 -4.6699346 0.66557271 -3.6715756
125 -0.082608729 0.98455685 -4.6561291 0.65637123 -3.6715722
126 -0.054224214 0.98730491 -4.6588819 0.65820327 -3.671577
127 -0.058398571 0.99979472 -4.6713781 0.66652981 -3.6715833
128 -0.059069116 1.0106237 -4.6822116 0.67374913 -3.6715879
129 -0.0281046 1.0109317 -4.6825217 0.67395447 -3.67159
130 0.047559543 0.99671796 -4.6683081 0.66447864 -3.6715901
131 0.15895869 0.96992185 -4.6415068 0.64661457 -3.671585
132 0.28215662 0.9382013 -4.6097784 0.62546753 -3.6715772
133 0.38187056 0.91178846 -4.583361 0.60785897 -3.6715726
134 0.43457716 0.89822083 -4.569793 0.59881389 -3.6715721
135 0.42980045 0.89912645 -4.5706996 0.59941763 -3.6715731
136 0.37651672 0.91219602 -4.5837723 0.60813068 -3.6715763
137 0.28439084 0.93441213 -4.6059907 0.62294142 -3.6715786
138 0.17053577 0.96123741 -4.6328195 0.64082494 -3.671582
139 0.05789694 0.98565259 -4.6572372 0.65710173 -3.6715846
140 -0.031753096 1.0017808 -4.6733664 0.66785387 -3.6715856
141 -0.094523123 1.0090178 -4.6806011 0.67267853 -3.6715833
142 -0.14111161 1.0116953 -4.6832747 0.67446353 -3.6715794
143 -0.18855375 1.014778 -4.6863571 0.67651867 -3.6715792
144 -0.23286569 1.0195269 -4.6911078 0.6796846 -3.6715807
145 -0.27093272 1.022641 -4.6942243 0.68176067 -3.6715832
146 -0.28976867 1.0198764 -4.6914602 0.6799176 -3.6715838
147 -0.28955857 1.0104609 -4.6820418 0.6736406 -3.6715808
148 -0.28614085 0.99992426 -4.6714973 0.66661617 -3.6715731
149 -0.31098363 0.99828667 -4.6698553 0.66552445 -3.6715686
150 -0.37468961 1.0106829 -4.6822566 0.6737886 -3.6715737
151 -0.45764361 1.030149 -4.7017306 0.686766 -3.6715817
152 -0.52699368 1.0454389 -4.7170243 0.69695927 -3.6715854
