# z rho0(z) rho1(z)
0.5329316878004174 0.0 0.0
0.5987950634012524 0.0 0.0
0.6646584390020873 0.0 0.0
0.7305218146029223 0.0 0.0
0.7963851902037572 0.0 0.0
0.8622485658045922 6.666666666666667e-5 0.0
0.9281119414054271 0.01183333333333334 0.0006000000000000001
0.9939753170062621 0.0840666666666667 0.005200000000000002
1.059838692607097 0.11703333333333334 0.010500000000000008
1.1257020682079317 0.0752666666666667 0.011300000000000008
1.1915654438087668 0.04469999999999996 0.009100000000000006
1.257428819409602 0.028566666666666646 0.010500000000000008
1.3232921950104366 0.017166666666666677 0.007900000000000004
1.3891555706112717 0.010266666666666669 0.009000000000000006
1.4550189462121068 0.0081 0.007200000000000004
1.5208823218129415 0.006000000000000001 0.008200000000000006
1.5867456974137766 0.004566666666666669 0.009900000000000006
1.6526090730146112 0.004400000000000001 0.011300000000000008
1.7184724486154463 0.0052666666666666695 0.013400000000000009
1.7843358242162815 0.006833333333333329 0.023499999999999997
1.8501991998171161 0.008233333333333339 0.03319999999999993
1.9160625754179512 0.011100000000000007 0.057799999999999886
1.9819259510187863 0.01526666666666668 0.0754999999999999
2.047789326619621 0.019400000000000004 0.09369999999999987
2.113652702220456 0.019866666666666685 0.0987999999999999
2.1795160778212908 0.020833333333333353 0.10719999999999998
2.245379453422126 0.018433333333333343 0.09279999999999988
2.311242829022961 0.016533333333333348 0.07559999999999993
2.3771062046237956 0.012 0.055199999999999916
2.4429695802246307 0.008433333333333334 0.03519999999999993
2.508832955825466 0.005733333333333336 0.023199999999999995
2.5746963314263005 0.005366666666666666 0.015400000000000013
2.6405597070271356 0.005100000000000005 0.010800000000000008
2.7064230826279703 0.004966666666666673 0.008500000000000006
2.7722864582288054 0.0056333333333333365 0.007700000000000006
2.8381498338296405 0.008933333333333335 0.007600000000000004
2.904013209430475 0.011166666666666675 0.007100000000000004
2.9698765850313102 0.017000000000000008 0.010300000000000007
3.035739960632145 0.027933333333333327 0.010400000000000006
3.10160333623298 0.043699999999999975 0.009100000000000006
3.167466711833815 0.07803333333333334 0.011100000000000007
3.2333300874346502 0.11433333333333336 0.009400000000000006
3.299193463035485 0.0856666666666667 0.006600000000000003
3.36505683863632 0.012166666666666675 0.0002
3.4309202142371547 3.3333333333333335e-5 0.0
3.4967835898379898 0.0 0.0
3.562646965438825 0.0 0.0
3.6285103410396595 0.0 0.0
3.6943737166404946 0.0 0.0
3.7602370922413293 0.0 0.0
