#1001 0.1 2.57246
0.1 4.799997599999998e15 3.999996e12
0.102472 3.4098917614838535e15 2.9838256151945054e12
0.104945 2.442197703308954e15 2.241414400833406e12
0.107417 1.7627745870818025e15 1.6949791554245894e12
0.10989 1.2818429730365468e15 1.2899365406285674e12
0.112362 9.387534810204291e14 9.876684874324785e11
0.114835 6.921702827388636e14 7.606380255292975e11
0.117307 5.136810316460951e14 5.89062408810269e11
0.11978 3.835974268468621e14 4.586276284588842e11
0.122252 2.881701643298744e14 3.5890550058124567e11
0.124725 2.1772572439217984e14 2.8224877317923047e11
0.127197 1.654094109692704e14 2.2301411424335242e11
0.12967 1.2633055602616095e14 1.770117519231391e11
0.132142 9.697672576731723e13 1.4111296256363052e11
0.134614 7.480929568305928e13 1.1296827846029703e11
0.137087 5.798224865881098e13 9.080389395404634e10
0.139559 4.514530972062386e13 7.327366738058998e10
0.142032 3.5305212841736586e13 5.935090185188543e10
0.144504 2.7727311585734355e13 4.824876285665277e10
0.146977 2.1865373171021676e13 3.936143375023598e10
0.149449 1.7311186162831549e13 3.2220374841293392e10
0.151922 1.3758183132138602e13 2.6461643266290802e10
0.154394 1.0975035421770354e13 2.1801356152279293e10
0.156867 8.786384032951374e12 1.8017179985993904e10
0.159339 7.058705455323313e12 1.493430170427823e10
0.161812 5.689892244838301e12 1.2414748916021288e10
0.164284 4.601534877121232e12 1.034922455247505e10
0.166756 3.7331777659035933e12 8.65083779742237e9
0.169229 3.03802507317873e12 7.250271369817521e9
0.171701 2.47971624137779e12 6.092041396337539e9
0.174174 2.029894424682291e12 5.131591801824904e9
0.176646 1.6663652408872034e12 4.33302864617466e9
0.179119 1.3716969154563145e12 3.667347102319807e9
0.181591 1.1321518423227295e12 3.1110391039827642e9
0.184064 9.368679984356146e11 2.644996216723751e9
0.186536 7.772294661860758e11 2.2536422788530765e9
0.189009 6.463806365509978e11 1.9242454881223998e9
0.191481 5.388499861470775e11 1.6463711030237749e9
0.193954 4.502577214881634e11 1.4114446907323935e9
0.196426 3.7708784191162067e11 1.2124025599106822e9
0.198898 3.165098532549503e11 1.043411166802439e9
0.201371 2.6623887840148633e11 8.996412519616942e8
0.203843 2.2442555879758026e11 7.770855338223269e8
0.206316 1.8956914361777084e11 6.724111660106306e8
0.208788 1.60448683056122e11 5.828400180499256e8
0.211261 1.3606839959217891e11 5.060512854761308e8
0.213733 1.156141953974847e11 4.4010206794101244e8
0.216206 9.841893193894353e10 3.8336244334171116e8
0.218678 8.393463914044006e10 3.3446226658157855e8
0.221151 7.171021360035982e10 2.922474749132452e8
0.223623 6.137347651381246e10 2.5574412008369458e8
0.226096 5.261670341448781e10 2.2412869556073976e8
0.228568 4.51849257819451e10 1.9670360426638997e8
0.23104 3.886645123939309e10 1.7287683349112338e8
0.233513 3.3485163866655575e10 1.521450807324544e8
0.235985 2.889425624516717e10 1.3407971626185821e8
0.238458 2.4971115741408203e10 1.1831508247199264e8
0.24093 2.1613143459650295e10 1.0453872215287496e8
0.243403 1.87343285253263e10 9.248320225703536e7
0.245875 1.6262435428868176e10 8.191925997147438e7
0.248348 1.4136690031844288e10 7.265004681830563e7
0.25082 1.230587204222389e10 6.450628628136887e7
0.253293 1.0726739497061113e10 5.734219287538968e7
0.255765 9.362724982414894e9 5.103202705266534e7
0.258238 8.182854704043066e9 4.546718201247183e7
0.26071 7.160850673877113e9 4.055371624882695e7
0.263182 6.274383650041104e9 3.6210260273200825e7
0.265655 5.504450420461862e9 3.2366237968512803e7
0.268127 4.834853835531986e9 2.89603529441737e7
0.2706 4.251767898875375e9 2.5939298453230012e7
0.273072 3.7433733959739633e9 2.3256656213199425e7
0.275545 3.299552120869065e9 2.0871955094909184e7
0.278017 2.911629865251625e9 1.8749865314357895e7
0.28049 2.572160053163928e9 1.6859507649145283e7
0.282962 2.2747413113593388e9 1.5173860440436121e7
0.285435 2.0138634188529677e9 1.3669249845923077e7
0.287907 1.7847770266507401e9 1.2324911070826966e7
0.29038 1.5833833182257285e9 1.1122610198148748e7
0.292852 1.4061404238662295e9 1.0046317828337077e7
0.295325 1.249983932527392e9 9.081927073480498e6
0.297797 1.11225928354237e9 8.217009574369188e6
0.300269 9.90664183960977e8 7.440604155274177e6
0.302742 8.831994987931399e8 6.743033530025921e6
0.305214 7.88127311980466e8 6.115745147979825e6
0.307687 7.039350644373506e8 5.55117283969602e6
0.310159 6.293048493082724e8 5.042616406259924e6
0.312632 5.630870896755601e8 4.584136706976793e6
0.315104 5.042779452454443e8 4.170464149252503e6
0.317577 4.5199989608889484e8 3.796918781489724e6
0.320049 4.05485036652657e8 3.4593404428743115e6
0.322522 3.6406068473738456e8 3.1540276397879906e6
0.324994 3.2713697023709697e8 2.8776840029529785e6
0.327467 2.941961190293968e8 2.627371337082865e6
0.329939 2.6478319005821085e8 2.40046840981149e6
0.332411 2.3849805965461764e8 2.194634742396592e6
0.334884 2.1498847757242155e8 2.0077787640160392e6
0.337356 1.939440449688167e8 1.8380297768149108e6
0.339829 1.7509098638329008e8 1.6837132522747326e6
0.342301 1.5818760628256854e8 1.54332904269849e6
0.344774 1.4302033646671715e8 1.4155321461126588e6
0.347246 1.2940029400708093e8 1.299115709932722e6
0.349719 1.1716028077577758e8 1.1929959993865462e6
0.352191 1.0615216533530717e8 1.096199091848615e6
0.354664 9.624459624286214e7 1.0078490886793708e6
0.357136 8.732100290374693e7 927157.662549265
0.359609 7.927784616418521e7 853414.7811190385
0.362081 7.202308601961264e7 785980.4678294699
0.364553 6.547483826009115e7 724277.4778379065
