   1                    0                    0                  4.5  +1.0    +0.279734265753    -0.138253303341    +5.200985873286
   2                    0                    0                  5.5  -1.0    +0.294631612990    -0.277309052942    -4.907161290318
   3                    0                    1                  4.5  +1.0    +0.393361742549    -0.004921781867    +5.402972031459
   4                    0                    1                  5.5  -1.0    -0.148703501885    -0.090788591701    -5.228816218621
   5                    0                    2                  4.5  +1.0    +0.342160640047    -0.036600842516    +5.396488512130
   6                    0                    2                  5.5  -1.0    -0.277982407515    -0.076747968645    -5.348615188795
   7                    0                    3                  4.5  +1.0    +0.125627588762    -0.092978688193    +5.474489809939
   8                    0                    3                  5.5  -1.0    -0.407102011016    -0.043415523481    -5.566736623964
   9                    0                    4                  4.5  +1.0    -0.134600974051    +0.014558932601    +5.424080338769
  10                    0                    4                  5.5  -1.0    -0.362815526447    +0.111267579719    -5.599901395749
  11                    0                    5                  4.5  +1.0    -0.351823271539    +0.210028922627    +5.298800076427
  12                    0                    5                  5.5  -1.0    -0.117913693437    -0.407518311334    -5.662024774131
  13                    0                    6                  4.5  +1.0    -0.396631573924    +0.231577053862    +5.177117807675
  14                    0                    6                  5.5  -1.0    +0.184203918999    +0.184789425636    -6.825778955868
  15                    0                    7                  4.5  +1.0    -0.270874432784    +0.037695930096    +4.983893675598
  16                    0                    7                  5.5  -1.0    +0.115753916671    +0.298061326891    -5.244929691492
  17                    0                    8                  4.5  +1.0    -0.083302919430    -0.081269061498    +4.930812301935
  18                    0                    8                  5.5  -1.0    +0.147792240193    +0.170724463475    -5.000691173332
  19                    0                    9                  4.5  +1.0    +0.081943212542    -0.139807602063    +4.957134480984
  20                    0                    9                  5.5  -1.0    +0.597660991623    +0.279176236535    -4.599857437591
  21                    1                    0                  4.5  +1.0    +0.553366803229    +0.028439083759    +4.771096392119
  22                    1                    0                  5.5  -1.0    -0.509435538881    -0.427088661850    -4.588471295063
  23                    1                    1                  4.5  +1.0    +0.550629509384    -0.002246989618    +4.962840627361
